obs,lnprice,lnarea,lndcbd,dsubway,dpark,dele,popden,crimerate,district.id,year
190,7.163819789886475,11.587800025939941,9.93533992767334,7.143340110778809,6.782430171966553,6.678269863128662,0.5489659905433655,10.751099586486816,3,1
992,7.4575700759887695,9.200289726257324,9.84784984588623,7.7890400886535645,6.956620216369629,7.051380157470703,0.5489659905433655,10.751099586486816,3,0
189,5.5742998123168945,10.278200149536133,9.948659896850586,6.830230236053467,7.065790176391602,6.819159984588623,0.5489659905433655,10.751099586486816,3,1
993,7.12568998336792,7.977880001068115,9.843879699707031,7.819910049438477,7.007919788360596,7.112669944763184,0.5489659905433655,10.751099586486816,3,0
969,6.815639972686768,5.81928014755249,9.919400215148926,7.646399974822998,6.882540225982666,4.100249767303467,0.5489659905433655,10.751099586486816,3,0
994,7.485219955444336,7.786340236663818,9.842029571533203,7.833980083465576,7.030889987945557,7.139810085296631,0.5489659905433655,10.751099586486816,3,0
968,7.612820148468018,8.945509910583496,9.917790412902832,7.643599987030029,6.843639850616455,4.603559970855713,0.5489659905433655,10.751099586486816,3,0
1001,5.873489856719971,10.709099769592285,9.955340385437012,7.891210079193115,7.110189914703369,5.679840087890625,0.5489659905433655,10.751099586486816,3,0
970,6.935279846191406,7.718689918518066,9.917519569396973,7.658100128173828,6.867599964141846,4.534599781036377,0.5489659905433655,10.751099586486816,3,0
990,7.3322601318359375,9.56637954711914,9.929780006408691,7.043519973754883,7.149270057678223,6.054100036621094,1.4072500467300415,2.2583200931549072,5,0
184,7.634950160980225,8.280409812927246,9.927610397338867,6.7222900390625,6.505980014801025,6.107530117034912,1.4072500467300415,2.2583200931549072,5,1
991,7.717609882354736,9.111559867858887,9.916179656982422,7.182590007781982,7.078549861907959,6.160309791564941,1.4072500467300415,2.2583200931549072,5,0
183,6.793019771575928,6.3940300941467285,9.920249938964844,6.760059833526611,6.2352399826049805,6.104939937591553,1.4072500467300415,2.2583200931549072,5,1
975,6.449269771575928,7.76908016204834,9.921130180358887,6.892020225524902,6.3891801834106445,5.881400108337402,1.4072500467300415,2.2583200931549072,5,0
